,Tanggal,Rataan Ketinggian Air Laut
737,2023-01-08,183.95833333333334
738,2023-01-09,185.91666666666666
739,2023-01-10,187.58333333333334
740,2023-01-11,186.16666666666666
741,2023-01-12,189.16666666666666
742,2023-01-13,191.75
743,2023-01-14,189.45833333333334
744,2023-01-15,187.29166666666666
745,2023-01-16,185.70833333333334
746,2023-01-17,184.04166666666666
747,2023-01-18,176.25
748,2023-01-19,177.04166666666666
749,2023-01-20,176.70833333333334
750,2023-01-21,184.375
751,2023-01-22,186.125
752,2023-01-23,182.75
753,2023-01-24,178.75
754,2023-01-25,179.66666666666666
755,2023-01-26,180.625
756,2023-01-27,179.79166666666666
757,2023-01-28,182.5
758,2023-01-29,190.625
759,2023-01-30,178.91666666666666
760,2023-01-31,183.70833333333334
761,2023-02-01,180.375
762,2023-02-02,182.5
763,2023-02-03,180.79166666666666
764,2023-02-04,185.20833333333334
765,2023-02-05,184.33333333333334
766,2023-02-06,183.25
767,2023-02-07,187.41666666666666
768,2023-02-08,183.25
769,2023-02-09,190.75
770,2023-02-10,188.54166666666666
771,2023-02-11,194.375
772,2023-02-12,184.83333333333334
773,2023-02-13,175.79166666666666
774,2023-02-14,181.25
775,2023-02-15,179.58333333333334
776,2023-02-16,179.125
777,2023-02-17,182.33333333333334
778,2023-02-18,181.45833333333334
779,2023-02-19,182.75
780,2023-02-20,186.125
781,2023-02-21,187.95833333333334
782,2023-02-22,185.75
783,2023-02-23,180.75
784,2023-02-24,185.58333333333334
785,2023-02-25,177.70833333333334
786,2023-02-26,179.16666666666666
787,2023-02-27,179.83333333333334
788,2023-02-28,173.33333333333334
789,2023-03-01,171.375
790,2023-03-02,172.95833333333334
791,2023-03-03,178.25
792,2023-03-04,176.16666666666666
793,2023-03-05,171.04166666666666
794,2023-03-06,172.75
795,2023-03-07,178.20833333333334
796,2023-03-08,171.41666666666666
797,2023-03-09,170.33333333333334
798,2023-03-10,174.29166666666666
799,2023-03-11,180.375
800,2023-03-12,172.66666666666666
801,2023-03-13,173.79166666666666
802,2023-03-14,187.5
803,2023-03-15,187.54166666666666
804,2023-03-16,191.29166666666666
805,2023-03-17,190.08333333333334
806,2023-03-18,193.20833333333334
807,2023-03-19,196.95833333333334
808,2023-03-20,194.75
809,2023-03-21,194.04166666666666
810,2023-03-22,201.125
811,2023-03-23,203.66666666666666
812,2023-03-24,204.375
813,2023-03-25,202.125
814,2023-03-26,191.625
815,2023-03-27,192.66666666666666
816,2023-03-28,190.83333333333334
817,2023-03-29,192.95833333333334
818,2023-03-30,189.45833333333334
819,2023-03-31,188.41666666666666
820,2023-04-01,185.41666666666666
821,2023-04-02,191.66666666666666
822,2023-04-03,192.58333333333334
823,2023-04-04,188.79166666666666
824,2023-04-05,195.54166666666666
825,2023-04-06,194.33333333333334
826,2023-04-07,191.45833333333334
827,2023-04-08,197.45833333333334
828,2023-04-09,193.20833333333334
829,2023-04-10,182.875
830,2023-04-11,169.95833333333334
831,2023-04-12,171.15277777777774
832,2023-04-13,181.83333333333334
