,Tanggal,Minimum Ketinggian Air Laut
806,2023-03-18,146.0
807,2023-03-19,156.0
808,2023-03-20,161.0
809,2023-03-21,168.0
810,2023-03-22,181.0
811,2023-03-23,184.0
812,2023-03-24,184.0
813,2023-03-25,172.0
814,2023-03-26,154.0
815,2023-03-27,155.0
816,2023-03-28,146.0
817,2023-03-29,146.0
818,2023-03-30,151.0
819,2023-03-31,151.0
820,2023-04-01,160.0
821,2023-04-02,162.0
822,2023-04-03,169.0
823,2023-04-04,167.0
824,2023-04-05,181.0
825,2023-04-06,180.0
826,2023-04-07,173.0
827,2023-04-08,170.0
828,2023-04-09,163.0
829,2023-04-10,150.0
830,2023-04-11,128.0
831,2023-04-12,132.0
832,2023-04-13,138.0
833,2023-04-14,148.0
834,2023-04-15,152.0
835,2023-04-16,148.0
836,2023-04-17,159.0
837,2023-04-18,178.0
838,2023-04-19,191.0
839,2023-04-20,186.0
840,2023-04-21,173.0
841,2023-04-22,169.0
842,2023-04-23,165.0
843,2023-04-24,165.0
844,2023-04-25,163.0
845,2023-04-26,162.0
846,2023-04-27,169.0
847,2023-04-28,165.0
848,2023-04-29,165.0
849,2023-04-30,171.0
850,2023-05-01,176.0
851,2023-05-02,184.0
852,2023-05-03,195.0
853,2023-05-04,189.0
854,2023-05-05,177.0
855,2023-05-06,180.0
856,2023-05-07,162.0
857,2023-05-08,161.0
858,2023-05-09,154.0
859,2023-05-10,159.0
860,2023-05-11,163.0
861,2023-05-12,165.0
862,2023-05-13,175.0
863,2023-05-14,180.0
864,2023-05-15,189.0
865,2023-05-16,194.0
866,2023-05-17,173.0
867,2023-05-18,156.0
868,2023-05-19,139.0
869,2023-05-20,133.0
870,2023-05-21,141.0
871,2023-05-22,134.0
872,2023-05-23,138.0
873,2023-05-24,143.0
874,2023-05-25,140.0
875,2023-05-26,143.0
876,2023-05-27,152.0
877,2023-05-28,152.0
878,2023-05-29,159.0
879,2023-05-30,169.0
880,2023-05-31,169.0
